scanner_version,target,resolved_ip,scan_type,started_at,duration_seconds,port,state,service,banner,reason
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,141,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,142,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,143,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,144,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,145,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,146,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,147,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,148,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,149,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,150,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,151,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,152,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,153,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,154,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,155,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,156,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,157,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,158,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,159,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,160,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,161,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,162,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,163,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,164,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,165,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,166,closed,unknown,,connection refused
4.2,192.168.100.1,192.168.100.1,TCP connect scan (socket),2026-07-17T15:34:16+05:00,1.838341,167,closed,unknown,,connection refused
